	10AF.fastq.trim.sam.counts	10OS.fastq.trim.sam.counts	1AS.fastq.trim.sam.counts	1OF.fastq.trim.sam.counts	2AS.fastq.trim.sam.counts	2OF.fastq.trim.sam.counts	4AS.fastq.trim.sam.counts	4OF.fastq.trim.sam.counts	6AF.fastq.trim.sam.counts	6OS.fastq.trim.sam.counts	7AF.fastq.trim.sam.counts	7OS.fastq.trim.sam.counts	8AF.fastq.trim.sam.counts	8OS.fastq.trim.sam.counts	9AF.fastq.trim.sam.counts	9OS.fastq.trim.sam.counts	
isogroup0	200	225	288	216	281	101	393	372	74	142	254	267	92	297	260	157	
isogroup1	2322	2746	3874	5357	5687	2172	4650	5704	1784	2021	2792	3454	2125	4084	3386	2311	
isogroup10	938	1255	1757	1889	2509	740	2372	2586	752	839	1082	1499	868	1741	1502	1020	
isogroup100	55	65	65	83	70	62	72	95	51	35	63	71	60	101	120	99	
isogroup1000	2	1	1	1	3	1	2	6	1	0	2	6	0	2	3	1	
isogroup10000	17	31	10	25	132	206	79	550	213	267	27	170	762	1016	651	1271	
isogroup10001	13	13	6	9	6	0	8	6	5	7	6	6	5	6	8	4	
isogroup10002	7	6	5	3	1	2	2	5	1	2	2	3	3	4	5	4	
isogroup10003	1	2	6	6	2	1	23	14	2	0	2	2	0	7	2	5	
isogroup10004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	
isogroup10005	24	56	61	73	13	56	20	32	15	19	23	22	18	23	18	15	
isogroup10006	2	1	1	2	1	3	1	4	2	5	2	1	3	5	2	4	
isogroup10007	23	17	20	16	5	13	21	22	13	6	12	16	4	17	10	10	
isogroup10008	562	714	535	784	491	339	709	859	565	603	612	809	520	701	931	812	
isogroup10009	4	3	5	3	1	1	3	2	1	3	3	2	1	5	5	1	
isogroup1001	129	149	109	136	152	109	152	183	96	116	121	140	99	202	168	151	
isogroup10010	9	10	16	6	4	9	9	7	2	7	2	7	2	8	7	6	
isogroup10011	106	137	85	172	68	63	108	156	61	75	101	128	83	180	98	109	
isogroup10012	9	12	10	5	5	9	5	17	8	14	2	12	10	13	11	14	
isogroup10013	0	6	3	3	1	2	1	1	1	2	1	4	1	5	0	4	
isogroup10015	40	28	53	102	21	37	11	14	56	49	79	38	61	57	57	32	
isogroup10016	10	9	16	17	7	10	15	10	9	7	10	14	3	9	9	10	
isogroup10017	6	10	4	8	8	4	7	15	6	5	4	5	4	8	6	7	
isogroup10018	164	112	68	374	51	178	63	200	155	206	343	120	166	124	187	64	
isogroup10019	1	0	0	1	0	2	2	0	0	0	1	0	1	3	0	0	
isogroup1002	16	27	36	27	17	16	29	54	5	10	16	37	25	42	29	49	
isogroup10020	0	0	2	0	1	0	0	2	2	0	0	1	3	0	0	2	
isogroup10021	15	14	12	22	12	2	23	16	9	2	5	14	5	12	9	18	
isogroup10022	0	0	0	0	0	0	1	3	0	0	2	0	0	0	0	1	
isogroup10023	1	5	0	2	1	26	0	1	2	1	0	0	1	2	0	0	
isogroup10024	13	13	4	6	9	9	13	9	4	4	4	13	6	10	17	10	
isogroup10025	6	11	10	17	10	9	8	24	1	3	9	24	3	43	12	27	
isogroup10026	35	38	34	34	40	5	49	51	15	24	22	33	12	41	39	24	
isogroup10027	6	23	14	7	8	15	8	7	5	2	1	2	5	11	10	10	
isogroup10028	11	11	5	14	7	1	10	10	2	6	6	12	4	11	7	10	
isogroup10029	0	2	2	2	6	2	0	4	3	2	1	3	4	5	2	2	
isogroup1003	298	369	432	529	374	363	325	494	197	230	299	367	320	412	407	367	
isogroup10030	15	18	15	22	9	14	21	29	11	11	8	22	11	35	31	28	
isogroup10031	7	12	12	17	14	6	13	11	1	4	5	13	1	17	15	9	
isogroup10032	36	32	19	52	17	21	33	52	26	22	33	49	20	55	46	43	
isogroup10033	36	49	65	51	43	35	38	50	24	19	27	34	26	63	44	42	
isogroup10034	2	6	1	1	4	0	2	3	4	0	5	3	5	3	2	2	
isogroup10035	6	2	2	5	0	0	3	4	2	4	2	4	3	3	2	2	
isogroup10036	44	47	31	42	32	27	36	57	24	23	18	42	22	47	39	31	
isogroup10037	8	6	11	12	6	10	1	9	5	0	8	4	6	8	5	4	
isogroup10038	1	24	37	15	3	23	0	0	0	0	1	0	0	0	1	0	
isogroup10039	3	6	4	2	2	2	7	3	3	1	1	4	2	5	4	0	
isogroup1004	26	31	20	41	22	39	27	27	25	9	18	22	20	31	27	24	
isogroup10040	17	20	10	19	9	9	10	20	8	4	15	16	13	7	21	16	
isogroup10041	3	8	1	2	4	6	4	6	1	4	4	2	3	10	6	10	
isogroup10042	116	222	129	154	87	115	260	187	96	193	73	212	232	217	173	233	
isogroup10043	7	23	42	36	6	40	10	8	7	8	6	13	11	36	12	16	
isogroup10044	2	1	1	3	2	3	6	3	4	0	1	1	1	2	1	0	
isogroup10045	5	5	4	7	4	2	7	7	2	3	7	4	4	5	5	6	
isogroup10047	3	5	2	3	3	1	6	14	9	5	2	3	3	5	5	6	
isogroup10048	11	30	13	23	3	3	6	12	3	13	2	1	7	11	9	9	
isogroup10049	2	2	1	3	6	5	5	18	2	0	0	0	22	49	11	14	
isogroup1005	0	0	0	0	0	0	7	6	0	4	1	2	16	22	8	17	
isogroup10050	5	5	10	1	3	4	6	8	7	7	3	5	4	7	8	0	
isogroup10051	29	80	110	63	43	89	50	47	26	31	30	25	22	47	32	32	
isogroup10052	55	82	50	43	82	42	72	130	48	34	79	86	33	94	83	71	
isogroup10053	19	15	29	32	17	23	35	48	17	14	18	33	10	16	38	32	
isogroup10054	25	27	17	30	20	12	26	42	17	18	11	26	21	54	27	30	
isogroup10055	6	2	0	2	0	0	0	3	1	0	1	1	2	3	4	0	
isogroup10056	6	7	8	8	5	6	16	34	5	12	10	14	47	115	41	71	
isogroup10057	2	1	2	0	3	1	1	3	0	1	0	0	1	1	1	1	
isogroup10058	0	0	1	0	1	0	0	0	0	1	0	0	0	0	3	0	
isogroup10059	37	39	47	48	39	15	77	102	82	72	51	38	32	72	37	44	
isogroup1006	48	58	56	81	38	53	59	67	50	35	52	33	27	51	60	50	
isogroup10061	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	2	
isogroup10062	7	9	12	11	4	6	15	12	8	9	6	10	2	12	13	9	
isogroup10063	2	11	9	11	4	4	3	10	5	2	7	9	6	9	9	9	
isogroup10064	69	82	73	112	45	33	83	99	43	54	78	103	47	86	78	75	
isogroup10065	14	25	14	8	8	11	23	26	11	15	7	14	11	26	11	11	
isogroup10066	6	2	3	4	3	5	6	11	0	1	0	2	3	5	5	6	
isogroup10067	0	0	1	1	2	0	0	1	0	1	0	0	0	1	0	0	
isogroup10068	8	9	16	4	2	10	1	6	1	2	1	3	3	8	2	8	
isogroup10069	18	25	20	26	14	15	18	35	10	16	16	26	19	24	17	24	
isogroup1007	8	14	11	24	18	14	10	15	5	10	8	11	6	6	14	9	
isogroup10070	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	
isogroup10071	16	20	20	22	4	16	11	14	14	13	12	16	15	23	6	12	
isogroup10072	18	22	17	23	7	7	15	22	11	17	19	18	13	32	19	19	
isogroup10073	4	6	3	7	6	4	8	10	2	4	6	1	10	5	7	3	
isogroup10074	43	47	29	244	29	207	46	52	233	79	39	35	140	60	110	72	
isogroup10075	8	4	9	9	5	6	15	12	1	7	4	10	0	8	10	6	
isogroup10076	10	14	9	15	3	45	5	19	10	7	13	6	19	35	24	16	
isogroup10077	7	5	2	4	0	0	3	4	6	2	1	6	2	3	2	7	
isogroup10078	3	4	0	5	6	0	11	9	2	2	1	4	2	1	4	2	
isogroup10079	3	3	0	3	2	1	0	10	2	8	1	6	2	4	0	2	
isogroup1008	226	339	243	392	156	217	324	462	175	221	197	264	268	418	317	350	
isogroup10080	2	5	2	4	0	3	3	12	3	2	0	4	3	7	5	8	
isogroup10081	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	
isogroup10082	2	3	1	3	0	1	2	3	1	1	1	5	2	3	3	2	
isogroup10083	27	71	74	43	30	83	33	47	8	12	12	27	21	60	27	53	
isogroup10084	9	10	10	4	1	6	5	16	6	5	2	7	20	34	15	17	
isogroup10085	101	77	82	70	106	83	87	97	40	58	80	59	61	64	113	65	
isogroup10086	52	64	82	93	84	79	82	79	58	54	84	67	82	82	94	65	
isogroup10087	18	10	18	15	11	10	21	25	10	12	9	20	7	22	16	25	
isogroup10088	1	1	1	0	0	3	1	1	1	0	1	0	0	0	1	1	
isogroup10089	26	26	23	22	29	14	33	27	10	17	22	23	8	33	25	22	
isogroup1009	20	41	61	26	23	41	31	43	8	11	8	30	16	38	32	28	
isogroup10090	27	9	10	12	16	5	14	24	7	10	11	24	6	18	17	20	
isogroup10091	0	2	1	4	0	3	1	3	0	2	0	3	4	2	2	1	
isogroup10092	2	0	1	2	2	0	2	0	0	1	2	0	0	1	1	0	
isogroup10093	11	10	4	8	3	8	5	7	5	11	7	5	3	13	9	4	
isogroup10094	6	4	2	3	5	2	1	7	4	2	1	0	1	11	5	7	
isogroup10095	9	19	11	12	16	12	10	41	12	19	12	18	81	84	34	78	
isogroup10096	214	269	228	558	193	391	300	257	291	303	183	294	280	271	231	291	
isogroup10097	1	3	1	4	5	4	4	2	0	0	4	5	4	5	2	2	
isogroup10098	9	77	61	19	3	55	2	1	2	2	1	3	1	2	0	1	
isogroup10099	32	24	16	28	11	16	20	49	10	25	22	35	14	32	37	38	
isogroup101	216	227	203	325	213	219	252	274	188	173	151	223	182	232	213	167	
isogroup1010	5	9	6	10	5	9	16	14	8	9	10	22	12	18	17	11	
isogroup10100	4	11	15	27	7	62	11	16	6	12	7	10	9	5	16	6	
isogroup10101	1	5	0	2	3	1	22	98	0	4	6	9	197	172	115	291	
isogroup10102	4	3	5	1	3	5	6	6	3	3	5	1	4	6	3	3	
isogroup10103	6	8	2	2	1	2	2	3	2	5	3	3	1	8	3	5	
isogroup10104	57	64	61	64	55	30	111	119	33	34	56	103	28	107	78	81	
isogroup10105	191	257	185	272	179	172	305	334	187	243	164	233	157	240	244	237	
isogroup10106	1	0	0	0	2	0	5	17	0	1	1	1	21	43	24	44	
isogroup10107	1	20	23	5	1	11	2	7	1	1	1	3	6	12	2	15	
isogroup10108	7	13	14	24	10	13	10	18	8	10	10	10	6	16	16	18	
isogroup10109	12	21	15	28	14	10	12	17	10	12	19	9	13	24	18	13	
isogroup1011	166	319	289	252	186	300	174	237	117	151	146	142	170	238	166	155	
isogroup10110	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	
